Order_ID,Customer_ID,Customer_Name,Store,City,State,Product,Category,Quantity,Unit_Price,Total_Sales,Payment_Method,Order_Status,Device_Type,Order_Date,Delivery_Date
500000,375,Customer_597,Store_A,Delhi ,Gujarat,Tablet,Electronics,2,1667,3334.0,Cash,Delivered,Desktop,2023-02-19,
500001,646,Customer_643,Store_E,Hyderabad,Gujarat,Phone,Electronics,5,1788,8940.0,Credit Card,Returned,Mobile,2023-03-02,2023-03-04
500002,574,Customer_699,Store_B,Bangalore,Delhi,Speaker,Accessories,2,1236,2472.0,UPI,Delivered,Mobile,2024-03-05,2024-03-07
500003,477,Customer_600,Store_D,Pune,Maharashtra,Mouse,Accessories,1,893,893.0,credit card,Returned,Mobile,2024-05-23,2024-05-30
500004,75,Customer_121,Store_E,Ahmedabad ,Maharashtra,Mouse,Accessories,3,2201,6603.0,Debit Card,delivered,mobile,2024-05-21,2024-05-29
500005,359,Customer_609,Store_D,Kolkata ,Karnataka,Laptop,Electronics,6,367,2202.0,UPI,delivered,Mobile,2024-07-25,2024-07-31
500006,396,Customer_685,Store_C,Hyderabad,Maharashtra,Laptop,Electronics,6,1318,7908.0,Debit Card,RETURNED,Mobile,2024-08-14,2024-08-22
500007,509,Customer_83,Store_B,Kolkata,Tamil Nadu,Smartwatch,Wearables,1,943,943.0,Debit Card,delivered,Tablet,2023-10-22,2023-10-26
500008,675,Customer_239,Store_A,Kolkata,Maharashtra,Camera,Electronics,3,1608,4824.0,UPI,Cancelled,Mobile,2023-08-25,2023-08-28
500009,528,Customer_633,Store_A,Kolkata,Gujarat,Headphones,Accessories,4,2239,8956.0,Cash,delivered,mobile,2024-01-14,2024-01-20
500010,113,Customer_349,Store_E,Hyderabad ,Maharashtra,Phone,Electronics,4,1690,6760.0,COD,Delivered,Tablet,2023-03-05,2023-03-09
500011,356,Customer_617,Store_C,Kolkata ,West Bengal,Mouse,Accessories,1,338,338.0,Cash,delivered,mobile,2023-08-01,2023-08-04
500012,166,Customer_529,Store_A,Delhi,Maharashtra,Monitor,Electronics,1,640,640.0,Debit Card,RETURNED,Mobile,2023-04-15,2023-04-20
500013,229,Customer_546,Store_E,Pune,Delhi,Speaker,Accessories,3,422,1266.0,upi,Returned,mobile,2023-09-25,2023-09-28
500014,287,Customer_484,Store_C,Delhi,Maharashtra,Keyboard,Accessories,2,2170,4340.0,Cash,Cancelled,Tablet,2024-05-19,2024-05-20
500015,640,Customer_625,Store_A,Kolkata,Maharashtra,Phone,Electronics,2,468,936.0,upi,Delivered,Mobile,2023-08-21,2023-08-27
500016,341,Customer_89,Store_D,Kolkata,Karnataka,Camera,Electronics,6,866,5196.0,credit card,Returned,Desktop,2024-05-04,2024-05-11
500017,611,Customer_486,Store_C,Mumbai,Maharashtra,Headphones,Accessories,1,669,669.0,Credit Card,Delivered,Mobile,2024-08-27,2024-08-30
500018,217,Customer_29,Store_C,Delhi,Delhi,Speaker,Accessories,6,620,3720.0,upi,RETURNED,Tablet,2024-03-20,2024-03-24
500019,470,Customer_679,Store_E,Ahmedabad,Maharashtra,Monitor,Electronics,5,1766,8830.0,COD,Returned,Mobile,2023-05-15,
500020,124,Customer_570,Store_A,Pune,West Bengal,Smartwatch,Wearables,2,66,132.0,upi,Delivered,Mobile,2023-06-03,2023-06-11
